Laser id,Elevation,Azimuth
1,7.382,-0.025
2,6.381,-0.025
3,5.375,-0.026
4,4.367,-0.026
5,3.354,-2.54
6,2.341,-2.541
7,2.006,2.49
8,1.66,-5.042
9,1.326,-2.541
10,0.991,2.49
11,0.645,-5.042
12,0.31,-2.541
13,-0.029,2.49
14,-0.367,-5.042
15,-0.706,-0.026
16,-1.045,2.49
17,-1.382,-5.042
18,-1.721,-0.026
19,-2.059,4.998
20,-2.397,-2.541
21,-2.735,-0.026
22,-3.072,4.998
23,-3.409,-2.54
24,-3.747,-0.026
25,-4.08,4.997
26,-4.422,-2.54
27,-4.756,2.49
28,-5.087,4.997
29,-5.428,-2.539
30,-5.761,2.49
31,-6.762,2.49
32,-7.758,2.49
33,-8.748,-0.024
34,-9.732,-0.023
35,-10.709,-0.023
36,-11.678,-0.022
37,-12.635,-2.528
38,-13.586,-2.526
39,-14.527,-2.523
40,-15.457,-2.521
